no-score,params,iteration,train_time
1012.3028982308186,"{'batch_size': 105, 'n_hidden': 190, 'lr': 0.21979643539957483, 'n_epochs': 189, 'n_lags': 17}",68,237.6240752900012
348.336419753976,"{'batch_size': 79, 'n_hidden': 153, 'lr': 0.0584551683645317, 'n_epochs': 147, 'n_lags': 20}",69,172.17618857200068
316.60210347284374,"{'batch_size': 91, 'n_hidden': 174, 'lr': 0.15728997152141755, 'n_epochs': 256, 'n_lags': 25}",70,267.7121170499995
864.4790820980852,"{'batch_size': 85, 'n_hidden': 168, 'lr': 0.10190072066420025, 'n_epochs': 302, 'n_lags': 15}",71,233.09242215599807
36.49577265572578,"{'batch_size': 115, 'n_hidden': 135, 'lr': 0.006894419015570031, 'n_epochs': 278, 'n_lags': 23}",72,169.0405496860003
1260.4701972344124,"{'batch_size': 99, 'n_hidden': 133, 'lr': 0.13626207601154805, 'n_epochs': 279, 'n_lags': 30}",73,218.02921556900037
304.96578549046046,"{'batch_size': 135, 'n_hidden': 125, 'lr': 0.027365425031035586, 'n_epochs': 341, 'n_lags': 22}",74,169.2908743400003
134.18001412910527,"{'batch_size': 112, 'n_hidden': 112, 'lr': 0.05669573676344438, 'n_epochs': 316, 'n_lags': 33}",75,170.43840351499966
358.8829133168818,"{'batch_size': 141, 'n_hidden': 143, 'lr': 0.17062905637041412, 'n_epochs': 358, 'n_lags': 37}",76,346.60492549300034
284.0373926368942,"{'batch_size': 106, 'n_hidden': 120, 'lr': 0.30344417601763285, 'n_epochs': 249, 'n_lags': 27}",77,133.42651284900057
431.4750441117173,"{'batch_size': 115, 'n_hidden': 149, 'lr': 0.08193283874551549, 'n_epochs': 373, 'n_lags': 34}",78,344.2519496229979
687.0670118460293,"{'batch_size': 122, 'n_hidden': 179, 'lr': 0.20852034197709202, 'n_epochs': 197, 'n_lags': 24}",79,169.58281698000064
1120.8149226250716,"{'batch_size': 61, 'n_hidden': 157, 'lr': 0.2417845975698578, 'n_epochs': 411, 'n_lags': 10}",80,174.99526325099941
709.5974856264282,"{'batch_size': 53, 'n_hidden': 140, 'lr': 0.10725846780977016, 'n_epochs': 307, 'n_lags': 4}",81,76.65739696599849
