merval,spread,valor transado,LIX
353.60859,1.165537195,609728.0893,6.167265809
361.52694,1.166212185,470768.3601,6.106874581
358.41831,1.169534698,1188886.689,6.412388626
360.83925,1.171996301,1340583.656,6.656758291
361.23427,1.173963909,777459.9453,6.599116919
362.53955,1.173980831,929978.9183,6.435488238
377.84243,1.170219573,1011041.957,6.426178183
377.70608,1.169002171,940213.4706,6.405520447
370.78087,1.168583708,652102.8907,6.240107958
368.48631,1.167138904,854372.0147,6.370622132
361.95512,1.166861026,1112090.765,6.027344249
363.09923,1.167364449,873673.1827,6.372537041
365.93654,1.172637488,829192.3367,6.226901646
364.403,1.178676342,1115581.956,6.455850454
360.66814,1.184628821,680874.0051,6.205016597
357.88647,1.183532322,723777.9068,6.257004197
357.13474,1.183031199,554871.269,5.722952563
352.8596,1.181565234,434778.6752,5.93912442
353.84984,1.184527379,924734.4797,6.507208128
356.6332,1.186651039,1504949.693,6.385389894
360.94032,1.186942291,592839.288,6.265446774
361.13359,1.192535615,1601547.55,6.507020507
353.03264,1.189747289,1656164.634,6.053157246
356.07111,1.191157801,1708896.599,6.322941606
357.32216,1.193381205,586512.0708,6.092773826
354.62499,1.1962106,691718.778,6.156818629
357.10998,1.197251316,2417739.391,6.822108811
362.50244,1.196580651,2333072.685,6.788649338
358.24609,1.19904852,2094843.016,6.924387442
358.24609,1.199013724,2094606.064,6.924312888
354.4189,1.199121733,1902018.906,6.45864111
352.57891,1.20168461,1739303.996,6.63470168
355.25951,1.196949583,575894.3182,6.17696746
357.54927,1.197006836,500617.3297,6.410335485
358.34758,1.19569194,387413.8733,6.315621773
356.50005,1.196250557,396918.2411,6.120860999
355.41177,1.198358979,917073.4316,6.502321391
352.58783,1.198935571,644748.6744,6.320599802
348.59763,1.201453683,834130.0665,6.401851225
346.98845,1.201695448,155124.9215,5.924283888
341.97103,1.203740678,581152.35,6.414043611
341.52672,1.204947766,507712.1702,6.107247282
343.84374,1.208023978,844724.0931,6.614484706
338.4262,1.213218366,585452.8644,6.177055709
337.61021,1.210025348,592512.5417,6.416110822
342.25845,1.207992715,918222.6492,6.472154607
347.00622,1.205413179,1472446.972,6.663092697
357.27524,1.206103504,2144513.197,6.526275717
361.33268,1.205217236,1424007.195,6.548805286
351.20787,1.209189046,739688.5637,6.270853716
355.01711,1.205263619,590201.1331,6.227321751
356.91368,1.204557164,442270.3605,6.038398821
359.31907,1.204214163,474667.2713,5.915212241
365.77071,1.202141657,588125.0999,6.161939269
365.77071,1.202676481,585536.8871,6.161043085
366.00277,1.204075343,443484.6111,5.93695558
353.27262,1.207571953,504227.6955,6.399490776
357.96205,1.205438953,268413.5824,6.176579309
352.79659,1.202491325,503297.0691,6.142715891
352.31863,1.205394056,754924.5984,6.294280269
351.781,1.207949464,484004.1844,6.26428747
351.44826,1.20563761,368848.149,6.017134961
354.24716,1.205887424,481054.0589,5.884539604
358.02196,1.204213317,477895.2368,6.097636959
358.02196,1.204533329,476880.1995,6.096812098
348.96326,1.207490716,819849.383,6.529587816
340.21172,1.210287936,622670.9328,6.033750405
345.6286,1.207694495,340424.9971,6.233342884
343.72547,1.206852737,393856.3596,5.860561617
344.1217,1.20790328,367428.1315,6.050937603
346.41963,1.209068981,677240.7878,6.467634828
351.23116,1.210610938,582478.5306,6.380896229
349.65561,1.210084751,512036.5282,6.209488607
346.61867,1.207463982,453503.4439,6.167910986
351.38827,1.205059271,703349.5411,6.387934792
337.95117,1.206459981,748917.7624,6.46412836
340.01897,1.20332632,559629.9411,6.32299683
338.39581,1.207394418,256728.0748,5.987895144
335.94513,1.209695605,695277.8916,6.168661066
329.36688,1.207812862,122048.6413,5.53942409
326.66415,1.208009055,153483.1121,5.967461532
327.70073,1.207067973,486383.4009,6.210022537
328.07003,1.209158066,758469.1914,6.172890694
335.16232,1.21029886,766580.8173,6.283315761
334.40729,1.210972375,665975.5556,6.179365856
334.40729,1.211900243,663033.9307,6.178358615
332.43187,1.207245683,632899.6739,6.264482196
337.55132,1.207828726,632369.7391,6.045734166
335.01957,1.208051031,485147.6674,5.944306844
336.99636,1.206158842,237285.3093,5.623670991
328.16224,1.208243496,338753.4039,5.723859504
324.0198,1.208904507,660231.4986,6.082527087
323.16407,1.209963976,511966.7403,6.111270944
316.50451,1.209954133,1169173.511,6.416752241
318.70046,1.209097271,412676.0303,5.93978465
318.50843,1.209269256,365234.2602,5.89039701
322.07247,1.203328672,988111.3623,6.316432763
306.91328,1.20935725,369851.3244,5.81299288
321.61046,1.209729862,783937.0968,6.025043061
321.61046,1.208819375,788418.9497,6.026807868
322.13171,1.208724329,506562.1063,5.903938737
321.89106,1.208446076,544918.3832,6.22274597
335.99089,1.208344384,1144859.754,6.273473575
338.57683,1.204800916,877382.6894,6.325574512
337.21728,1.208300391,534149.15,6.291954763
344.74363,1.206547561,768423.1578,6.234738926
346.87571,1.201026523,435631.0262,6.124563514
344.20998,1.199660435,377712.0328,6.035044845
350.19951,1.198459266,389971.7415,6.313707484
358.53608,1.196706248,777965.5959,6.239535518
364.16862,1.192952716,678909.7352,6.355769501
372.93198,1.192157559,952917.2613,6.111734771
373.3042,1.192398379,538057.7121,6.192384493
385.93686,1.193338002,1115971.514,6.281868836
396.56789,1.189480468,816648.4741,6.423014663
414.56479,1.185119573,1056829.204,6.613818988
407.24673,1.191744212,1313127.043,6.521362685
408.21426,1.192116615,1059821.165,6.190852837
395.76859,1.192614627,922466.9559,6.231130854
395.76859,1.192614627,922466.9559,6.231130854
395.76859,1.192614627,922466.9559,6.231130854
402.71553,1.190745444,348587.3962,6.174879138
404.71295,1.192059746,771307.3209,6.186018226
406.8908,1.189733496,993945.9143,6.390283859
406.8908,1.189733496,993945.9143,6.390283859
406.8908,1.189733496,993945.9143,6.390283859
421.76774,1.188342815,711085.4849,6.353429651
423.33394,1.19025011,539476.0426,6.166322494
425.62629,1.187209617,568684.1225,6.09199784
427.75581,1.184623179,590308.7771,6.349984296
432.08159,1.184842514,551738.7674,6.172454028
440.42139,1.18520398,854129.217,6.467922967
444.63367,1.185835537,1351913.999,6.508477835
