,Merval,Spread,Valor transado (promedio),LIX,Valor transado (suma)
169,657.93845,1.781674685,1094779.719,6.258963417,10199891.92
170,647.6225,1.567453574,998997.0394,6.367910311,10621712.53
171,661.90364,2.000347816,806726.6099,6.267751647,10817005.41
172,703.64717,1.658111384,1007505.782,6.326925131,17155909.98
173,703.64717,1.657889269,1005573.017,6.326662151,17155909.98
174,679.09614,1.829548894,1387798.407,6.171640062,16610155.79
175,678.10215,1.380429367,1316910.065,6.335620109,11430440.51
176,693.04974,1.663434968,1122918.171,6.407993048,11733038.91
177,676.07192,1.561000297,827840.5975,6.150851986,10300197.99
178,671.4857,1.936207311,928220.4101,6.346493397,8663978.19
179,703.88842,1.856556296,1095401.572,6.467633887,14183437.55
180,717.87883,1.970330508,949006.2584,6.474952032,11809758.32
181,710.18559,2.162679125,1853782.377,6.560595171,14431744.24
182,653.73619,1.439804432,1842200.129,6.468030814,19483878.67
183,682.95898,1.38847963,1776304.142,6.353693356,16697889.94
184,686.5363,1.644823705,1135024.009,6.542169513,10342503.0
185,704.70404,1.794760353,582770.0866,6.089121916,11527041.5
186,704.70404,1.792189993,585847.8358,6.090831899,11527041.5
187,738.90812,1.446867924,3578741.228,6.543556179,35159258.39
188,729.08511,1.416288715,3308371.504,6.558671857,25303537.26
189,746.44945,1.553700121,1182906.216,6.421496068,12868836.11
190,741.35444,1.102772603,1279949.659,6.419522031,14380938.28
191,720.80383,1.383990575,3717582.664,6.556222594,17447903.23
192,682.97211,1.000958642,2439145.977,6.55294403,17474755.25
193,683.30564,1.521185119,1132950.744,6.50169078,13295423.39
194,679.98169,0.95458603,1752623.005,6.527543003,11440364.88
195,679.8879,1.114222182,1964270.987,6.660823234,12166713.43
196,679.88316,1.136519326,630998.0149,6.179957128,7737576.55
197,666.05144,1.274309795,1014754.084,6.216402823,8677164.98
198,662.076,1.092522504,1379794.142,6.273927728,13646319.75
199,664.28503,1.485662454,1010363.983,6.345596856,12436919.9
200,665.92051,1.02675923,746723.254,6.26213764,6936836.0
201,679.78368,0.870809269,1893385.337,6.427862456,16073020.71
202,689.35848,1.390526599,1469196.079,6.173355462,15424499.86
203,680.70849,1.264325344,1405583.065,6.354418907,12706401.82
204,668.2172,1.572731427,1592889.959,6.269858899,17395605.47
205,655.82499,1.382136157,1474372.786,6.413837525,14210612.42
206,667.15472,1.412904994,999986.5567,6.321939426,10998389.26
207,667.15472,1.412904994,999986.5567,6.321939426,10998389.26
208,667.15472,1.412904994,999986.5567,6.321939426,10998389.26
209,651.45771,1.153663996,1821722.581,6.525496271,10281057.18
210,660.53913,1.566735401,1037289.687,6.030734372,9738113.03
211,655.85533,1.280335304,760995.2802,6.192916372,5212017.12
212,655.85533,1.280335304,760995.2802,6.192916372,5212017.12
213,655.85533,1.280335304,760995.2802,6.192916372,5212017.12
214,645.73917,0.997270233,473786.3831,5.935426888,5193781.28
215,656.01727,1.156614984,511337.6278,5.99255249,5948687.81
216,639.84016,1.338769968,542687.0329,6.243115767,7589907.82
217,649.01569,1.223359007,660194.6639,6.086132859,7969090.17
218,654.97918,1.243557403,799972.7057,6.270724795,10419983.2
219,646.24381,1.233743634,878055.1665,6.196967799,7089223.29
220,654.44551,1.484513844,941328.1534,6.198837197,7921853.2
221,661.68369,1.424033619,650204.8411,6.266942867,6546936.58
222,656.87841,1.244167461,679378.4412,6.222784549,6248245.75
223,671.12661,1.216249512,899060.1754,6.236702407,7821577.48
224,681.10486,1.90054598,1461329.696,6.441996773,10801650.56
225,683.70608,1.391035181,1082867.049,6.247889307,9564480.18
226,688.8749,1.243338509,434073.0671,5.9365411,4278327.67
